Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,6.191432,6.191929,5.885122,6.075273,6.075273,23891162
2019-01-02,6.091465,6.207873,5.949006,6.188613,6.188613,30308610
2019-01-03,6.171907,6.175116,5.901559,5.903535,5.903535,22821639
2019-01-04,5.895052,6.065898,5.863714,6.065138,6.065138,29311136
2019-01-05,6.055661,6.204376,6.034071,6.065543,6.065543,30340637
2019-01-06,6.068153,6.502734,6.034090,6.395979,6.395979,41574183
2019-01-07,6.429357,6.429487,6.231934,6.291411,6.291411,37914513
2019-01-08,6.295865,6.911029,6.235755,6.640054,6.640054,65660517
2019-01-09,6.659679,6.965078,6.473888,6.641550,6.641550,74676974
2019-01-10,6.610938,6.683948,5.800487,5.915919,5.915919,75844882
2019-01-11,5.965033,6.237288,5.842600,6.075342,6.075342,50239804
2019-01-12,6.086733,6.087327,5.929253,5.976965,5.976965,32654874
2019-01-13,5.974922,6.000758,5.493421,5.568757,5.568757,26590183
2019-01-14,5.577669,6.159282,5.574418,6.159282,6.159282,43109288
2019-01-15,6.163676,6.163676,5.817486,5.919048,5.919048,25427436
2019-01-16,5.916178,6.249328,5.900547,6.186014,6.186014,35059223
2019-01-17,6.171835,6.417832,6.081833,6.417832,6.417832,36306127
2019-01-18,6.405715,6.687800,6.336640,6.563040,6.563040,43105423
2019-01-19,6.570098,6.728054,6.356164,6.635449,6.635449,46981638
2019-01-20,6.646824,6.730163,6.375931,6.493869,6.493869,49479090
2019-01-21,6.505216,6.579240,6.422120,6.553025,6.553025,36321046
2019-01-22,6.543233,6.568098,6.384761,6.523199,6.523199,31986617
2019-01-23,6.530526,6.573999,6.436419,6.541402,6.541402,33083575
2019-01-24,6.534355,6.541763,6.465994,6.505792,6.505792,26614401
2019-01-25,6.514755,6.799007,6.505509,6.737325,6.737325,43731936
2019-01-26,6.750314,7.039641,6.690683,7.006565,7.006565,48498979
2019-01-27,7.003060,7.246770,6.860904,7.088199,7.088199,52872347
2019-01-28,7.091497,7.189432,6.106819,6.206182,6.206182,82427200
2019-01-29,6.220346,6.314663,6.059685,6.181670,6.181670,49291811
2019-01-30,6.174735,6.219441,6.056818,6.174529,6.174529,41310644
2019-01-31,6.173159,6.333213,6.028731,6.268436,6.268436,52240451
2019-02-01,6.264142,6.648027,6.172295,6.562617,6.562617,56050947
2019-02-02,6.554346,6.891695,6.525021,6.891695,6.891695,56627089
2019-02-03,6.885941,6.920657,6.621789,6.738165,6.738165,59942158
2019-02-04,6.765826,7.173779,6.703909,7.100500,7.100500,71959989
2019-02-05,7.060620,7.914336,6.955159,7.819810,7.819810,96588397
2019-02-06,7.863149,8.466517,7.405838,8.086174,8.086174,118867601
2019-02-07,8.103447,8.428266,7.702507,7.730325,7.730325,86056681
2019-02-08,7.780721,8.828984,7.652212,8.575567,8.575567,103694036
2019-02-09,8.601719,8.931648,8.467873,8.871357,8.871357,106420119
2019-02-10,8.856160,9.337292,8.856160,9.211540,9.211540,125419865
2019-02-11,9.192381,9.824778,9.151557,9.551809,9.551809,136029624
2019-02-12,9.533523,9.748714,8.980687,9.341781,9.341781,123194872
2019-02-13,9.328230,9.328230,8.789261,8.941073,8.941073,95068052
2019-02-14,8.929620,9.067792,8.460005,8.782048,8.782048,72389547
2019-02-15,8.821605,9.508629,8.777353,9.273832,9.273832,83961438
2019-02-16,9.317526,9.337222,9.078147,9.129251,9.129251,65705040
2019-02-17,9.134310,9.219167,8.920140,9.216046,9.216046,66977126
2019-02-18,9.215029,9.744648,9.179193,9.634436,9.634436,79003060
2019-02-19,9.654717,11.109812,9.580958,10.563078,10.563078,128091178
2019-02-20,10.522627,11.323774,10.522627,10.966056,10.966056,118033473
2019-02-21,10.985795,10.985795,10.234242,10.492892,10.492892,85754656
2019-02-22,10.447696,10.989879,10.433596,10.837115,10.837115,82256314
2019-02-23,10.823094,10.865765,10.458562,10.781801,10.781801,81628102
2019-02-24,10.797889,11.085546,9.623884,10.113093,10.113093,113588899
2019-02-25,10.065574,10.290170,9.544575,9.842012,9.842012,146043498
2019-02-26,9.822497,9.874677,9.450891,9.521595,9.521595,88437694
2019-02-27,9.520861,10.115608,9.435871,9.899132,9.899132,93800328
2019-02-28,9.914662,10.549581,9.894533,10.365178,10.365178,100626963
2019-03-01,10.356931,11.607489,10.325634,11.393217,11.393217,117838677
2019-03-02,11.384693,11.915753,10.960816,11.869744,11.869744,120807894
2019-03-03,11.845305,11.964979,11.352064,11.537903,11.537903,89868246
2019-03-04,11.538013,11.599405,11.070543,11.545945,11.545945,89421231
2019-03-05,11.520388,13.841443,11.520388,13.811967,13.811967,237026335
2019-03-06,13.750288,14.555457,13.112671,14.517946,14.517946,191016822
2019-03-07,14.525312,15.645143,14.444202,15.145886,15.145886,236520320
2019-03-08,15.226148,15.322368,13.761346,14.366936,14.366936,227303083
2019-03-09,14.284603,14.948982,14.105336,14.565879,14.565879,160640089
2019-03-10,14.566903,14.602171,14.073290,14.494439,14.494439,140866074
2019-03-11,14.498401,14.967264,14.217393,14.514414,14.514414,152327295
2019-03-12,14.495936,15.507338,14.324997,15.406131,15.406131,169525508
2019-03-13,15.427578,15.448460,15.097646,15.115124,15.115124,145402739
2019-03-14,15.119261,15.231841,14.748009,15.051104,15.051104,137039682
2019-03-15,15.033138,15.298235,15.009156,15.077102,15.077102,124146334
2019-03-16,15.052109,16.160261,15.021489,16.119011,16.119011,143423670
2019-03-17,16.089241,16.097116,15.682742,15.761146,15.761146,131687083
2019-03-18,15.754995,15.941780,15.404627,15.682012,15.682012,132882167
2019-03-19,15.675785,16.010118,15.413415,15.693595,15.693595,216950178
2019-03-20,15.692178,15.723441,15.178736,15.280023,15.280023,136054765
2019-03-21,15.281807,15.454046,14.338748,14.517393,14.517393,152779939
2019-03-22,14.495111,15.318473,14.392446,15.266424,15.266424,149753510
2019-03-23,15.249810,15.546730,15.103736,15.235995,15.235995,143128548
2019-03-24,15.241132,17.377954,14.915450,17.285357,17.285357,314554203
2019-03-25,17.249006,17.416224,16.216286,16.841007,16.841007,199413830
2019-03-26,16.758650,16.827078,15.778379,16.335665,16.335665,186112032
2019-03-27,16.288694,16.955210,16.049110,16.781343,16.781343,202275822
2019-03-28,16.777079,16.912256,16.610222,16.805330,16.805330,189454288
2019-03-29,16.802631,16.895767,16.453279,16.510141,16.510141,172002338
2019-03-30,16.492199,17.243795,16.066578,16.932213,16.932213,182021376
2019-03-31,16.932213,17.568340,16.772444,17.401670,17.401670,199990283
2019-04-01,17.410639,18.058975,17.291075,17.950502,17.950502,202977286
2019-04-02,17.960625,19.921143,17.691793,19.789783,19.789783,264406306
2019-04-03,19.799784,20.071714,18.429638,18.753063,18.753063,254862222
2019-04-04,18.743467,19.545368,18.447649,19.142689,19.142689,214630296
2019-04-05,19.139215,19.530912,18.941456,19.453466,19.453466,181774781
2019-04-06,19.460411,19.474812,18.892471,19.115629,19.115629,155317547
2019-04-07,19.106430,19.269764,18.908728,19.110271,19.110271,149525473
2019-04-08,19.079069,19.090576,18.073280,18.113703,18.113703,178255322
2019-04-09,18.113703,18.644468,17.320002,18.435053,18.435053,203380139
2019-04-10,18.425514,18.687946,18.117266,18.248579,18.248579,180291307
2019-04-11,18.278069,18.286966,16.589216,17.700480,17.700480,159364357
2019-04-12,17.689150,18.633879,16.809151,18.434271,18.434271,171773154
2019-04-13,18.436537,18.719797,18.150991,18.719797,18.719797,167393154
2019-04-14,18.713379,20.007793,18.532438,19.492020,19.492020,189084742
2019-04-15,19.492020,19.895941,18.888897,19.402426,19.402426,176699111
2019-04-16,19.387169,19.855835,18.793818,19.827456,19.827456,174830782
2019-04-17,19.825439,19.889503,19.425251,19.603350,19.603350,186563033
2019-04-18,19.588575,22.075722,19.536499,22.038479,22.038479,376729341
2019-04-19,22.026449,24.801462,21.316130,24.475281,24.475281,397681147
2019-04-20,24.517479,25.533409,23.959887,25.007528,25.007528,311312466
2019-04-21,24.991802,24.991802,22.789330,24.193829,24.193829,281288778
2019-04-22,24.186974,24.701054,23.398413,23.908110,23.908110,254544860
2019-04-23,23.909674,24.745443,22.689814,22.876261,22.876261,264898474
2019-04-24,22.848101,23.165354,21.407845,23.129068,23.129068,259839247
2019-04-25,23.102085,23.530529,21.540197,22.243107,22.243107,244068802
2019-04-26,22.285395,23.463964,21.644140,22.869429,22.869429,253113255
2019-04-27,22.867357,22.951124,22.258814,22.341587,22.341587,205615716
2019-04-28,22.352484,23.035332,22.301577,22.899340,22.899340,222693167
2019-04-29,22.904093,22.934450,21.319277,21.705067,21.705067,201243334
2019-04-30,21.702774,22.349962,21.428402,22.127836,22.127836,190326179
2019-05-01,22.134750,22.216763,21.636343,21.953621,21.953621,180070221
2019-05-02,21.954395,23.963108,21.834435,23.591930,23.591930,228233321
2019-05-03,23.582506,23.930550,23.130514,23.749628,23.749628,218859579
2019-05-04,23.749628,23.766676,22.545780,22.884832,22.884832,193177736
2019-05-05,22.893597,23.091730,22.643623,23.019953,23.019953,171107466
2019-05-06,23.017311,23.017311,21.619482,22.206635,22.206635,175856220
2019-05-07,22.185858,22.471712,20.661934,20.864180,20.864180,171922295
